label,verbose_description,terse_description
tube_room,"The room is lined with large, glass-fronted tubes like the one you woke up in.
The fluorescent lights  flicker on and off, buzzing. In the center of the room is a
metal operating table. A cart of surgical instruments is overturned nearby.","You are in an operating room, lined with mysterious person-sized tubes"
central_hallway_west,"The main hallway arcs overhead, and you stand on the western end. 
The dull thumping of enormous industrial fans comes from overhead, and 
their shadows spin crazily on the floor. There's a wide smear of blood on the grey-green 
tiles of the floor, starting under one of the nothern doors and growing gradually thinner
 as it extends out the main portal to the east.",You are in the western end of the main hallway.
kitchen,It seems this was the facility's kitchen. The shelves are lined with empty boxes.,You are in the kitchen.
central_hallway_east,"You stand in the eastern half of the central hallway. There's a persistent mechanical hum
 on the fringes of your hearing. A thick trail of blood begins under the door to
 the north and leads out the main portal, growing thinner as it goes.",You are in the east half of the main hallway.
outside,"You push out into the howling wind. It's hard to make anything out, but you think
 you can see the outline of a small structure to the south. The blood trail, frozen under a layer
 of ice, leads that direction.",You are outside the main facility. It is very cold.
garage,"You step out of the wind and into the structure. This looks like the garage--
 helmets and empty gas cans are spread around the floor. There is room for 
three or four snowmobiles here, but only one is left.",You are in the  garage.
reactor_entrance,"The stairs lead down into a small room with thick metal walls.
A bright yellow sign bears something that looks like the radioactivity symbol, but pointier,
 with text below it. Two red suits hang from hooks on the wall.",You are at the entrance to the reactor.
reactor,This small room is suffused with dim green light. A thick cylinder is set into the center of the otherwise bare floor.,You are in the reactor core.
lab,Laboratory benches and a glass-fronted refrigerator line the walls. The blood trail leads to the refrigerator.,You are in the lab.
closet,"You are in a small walk-in closet. There is space here to hold enough artic equipment
 for three or four people to travel through the cold safely, but most of the 
hangers and shelves are empty now.",You are in the closet.
